"Index number","City","State","River","Jam date","Water year","Jam type","Latitude","Longitude","Gage number","Ahps id","Current condition","Damages"
"20210503204700","Sourdough","AK","Gulkana  River","04/29/2021","2021","Break-up","-145.530833","62.520833","-","-","released","-"
"20210601205122","Umiat","AK","Colville River","06/29/2021","2021","Break-up","-152.106774","69.361213","-","-","not flooding","-"
"20210302174600","Ewing","MO","Middle Fabius River","02/26/2021","2021","Break-up","-91.705556","40.028889","-","EWMM7","released","-"
"20210302174443","Milan","OH","Huron River","02/25/2021","2021","Break-up","-82.60823","41.300885","-","MILO1","released","-"
"20210302174258","Renovo","PA","Kettle Creek","02/24/2021","2021","Break-up","-77.872464","41.312874","-","-","released","-"
"20210302174031","Schuyler","NE","Platte River","02/26/2021","2021","Break-up","-97.060345","41.412975","-","DNCN1","released","At 649 AM CST, 2/26/2021, emergency management reported water over Highway 15."
"20210511210254","Circle","AK","Yukon River","05/09/2021","2021","Break-up","-141.710899","65.195374","-","-","released","none reported"
"20210511210056","Circle","AK","Yukon River","05/09/2021","2021","Break-up","-143.773794","65.570632","-","-","released","none reported"
"20210511205923","Eagle","AK","Yukon River","05/07/2021","2021","Break-up","-141.040328","64.73455","-","-","released","none reported"
"20210511205628","Aniak","AK","Kuskokwim River","05/05/2021","2021","Break-up","-159.717404","61.582238","-","-","released","Minor low land flooding of gravel pit, fuel dock, and low lying roads"
"20200128181154","Malone","NY","Salmon River","01/22/2020","2020","Unknown","-74.295544","44.86204","-","-","released","Report indicates that Lower Park Rd in Malone, NY is closed due an ice jam along the Salmon River."
"20200317184706","Mayer","MN","South Fork Crow River","03/12/2020","2020","Breakup","-93.884722","44.905556","-","MAYM5","released","Minor flooding was reported briefly before the flooding subsided."
"20200317184401","Howard","WI","Duck Creek","03/11/2020","2020","Breakup","-88.090526","44.546662","-","HOWW3","released","Minor flooding was reported between Highway 29 and the bay of Green Bay which resulted in the closure of Pamperin Park in Howard, WI."
"20200317183802","Perry Mills","NY","Great Chazy River","03/10/2020","2020","Breakup","-73.501389","45","-","CZRN6","released","Minor flooding occurred briefly but no damages were reported."
"20200421195015","Anchor Point","AK","Anchor River","04/16/2020","2020","Breakup","-151.836389","59.772222","-","APBA2","released","Minor flooding reported in the vicinity of Old Sterling Highway Bridge."
"20200121222845","Rome","WI","Bark River","01/19/2020","2020","Freeze-up","-88.6708","42.9604","-","ROMW3","released","-"
"20200121222635","Gillett","WI","Oconto River","01/18/2020","2020","Freeze-up","-88.3","44.864722","-","GILW3","released","-"
"20200121222451","Manitowoc","WI","Manitowoc River","01/17/2020","2020","Freeze-up","-87.715278","44.107222","-","MTTW3","released","-"
"20200121222012","Oconto","WI","Oconto River","01/17/2020","2020","Freeze-up","-87.983889","44.860556","-","OCTW3","released","-"
"20200121221507","Sherman","NE","Middle Loup River","01/19/2020","2020","Freeze-up","-98.988689","41.26975","-","-","released","-"
"20200121220713","Choteau","MT","Spring Creek","01/11/2020","2020","Freeze-up","-112.171595","47.808409","-","-","released","-"
"20200121220224","Cascade","MT","Missouri River","01/14/2020","2020","Freeze-up","-111.695088","47.268835","-","CASM8","released","-"
"20200121220015","Anoka","MN","Mississippi River","01/15/2020","2020","Freeze-up","-93.3944","45.1916","-","AKAM5","released","-"
"20200121215756","Dayton","IL","Fox River","01/19/2020","2020","Freeze-up","-88.789722","41.383889","-","DAYI2","released","-"
"20200121215334","Dixon","IL","Rock River","01/19/2020","2020","Freeze-up","-89.486111","41.844722","-","DXRI2","released","-"
"20200408171324","Warren","MN","Snake River","04/07/2020","2020","Breakup","-96.718056","48.209722","-","MKLM5","released","-"
"20200408170754","Crouseville","ME","Aroostook River","04/07/2020","2020","Breakup","-68.03297","46.72371","-","WSHM1","released","-"
"20200311133652","St. Peter","MN","Minnesota River","03/08/2020","2020","Breakup","-93.960083","44.307444","-","SPTM5","released","Highway 99 Bridge closed due to rising water."
"20200226140438","Gresham","WI","Red  River","02/21/2020","2020","Unknown","-88.844167","44.898056","-","MORW3","released","-"
"20200311132835","New Ulm","MN","Cottonwood River","03/03/2020","2020","Breakup","-94.439722","44.289167","-","NWUM5","released","-"
"20200211212727","Washburn","ME","Aroostook River","02/07/2020","2020","Unknown","-68.149576","46.77181","-","-","released","-"
"20200114213124","Stratford","NH","Connecticut River","01/12/2020","2020","Freeze-up","-71.56253","44.651797","-","-","released","-"
